auroc,auprc,f1,shd,dataset,kind,d,n,seed,method,time_s,n_params,gen_seed
0.9666505167958656,0.9315005896604147,0.8947368421052632,8,nonlin_d20_n2000,nonlinear,20,2000,42,VAR-Lasso,0.109,,20042
0.9286983204134367,0.689706446804507,0.647887323943662,25,nonlin_d20_n2000,nonlinear,20,2000,42,Correlation,0.024,,20042
0.8131459948320413,0.7226193816003361,0.7419354838709677,16,nonlin_d20_n2000,nonlinear,20,2000,42,NOTEARS,0.114,,20042
0.9721414728682172,0.9446412012685946,0.9411764705882353,4,nonlin_d20_n2000,nonlinear,20,2000,42,GOLEM,0.298,,20042
0.9983042635658915,0.9870939461055741,0.9577464788732394,3,nonlin_d20_n2000,nonlinear,20,2000,42,PCMCI,7.754,,20042
0.9970122739018088,0.9789529914529915,0.9565217391304348,3,nonlin_d20_n2000,nonlinear,20,2000,42,VarLiNGAM,6.065,,20042
0.7651808785529716,0.38672364253852853,0.4186046511627907,50,nonlin_d20_n2000,nonlinear,20,2000,42,Neural-GC,57.765,,20042
0.9207848837209303,0.795413488607426,0.7878787878787878,14,nonlin_d20_n2000,nonlinear,20,2000,42,CD-KAN,4.856,13220,20042
0.9647930194805194,0.867658158982838,0.88,6,nonlin_d20_n2000,nonlinear,20,2000,43,VAR-Lasso,0.105,,20043
0.9256290584415584,0.8066405351690645,0.7777777777777778,12,nonlin_d20_n2000,nonlinear,20,2000,43,Correlation,0.027,,20043
0.9066558441558441,0.794356104148812,0.8085106382978723,9,nonlin_d20_n2000,nonlinear,20,2000,43,NOTEARS,0.127,,20043
0.9912743506493507,0.9321929498369317,0.88,6,nonlin_d20_n2000,nonlinear,20,2000,43,GOLEM,0.299,,20043
0.9995941558441558,0.9951559934318555,0.9655172413793104,2,nonlin_d20_n2000,nonlinear,20,2000,43,PCMCI,6.299,,20043
0.9814326298701299,0.960529592264101,0.9473684210526315,3,nonlin_d20_n2000,nonlinear,20,2000,43,VarLiNGAM,5.202,,20043
0.7510146103896104,0.2975982326625441,0.3333333333333333,68,nonlin_d20_n2000,nonlinear,20,2000,43,Neural-GC,58.129,,20043
0.9040178571428572,0.8321111424181452,0.8333333333333334,8,nonlin_d20_n2000,nonlinear,20,2000,43,CD-KAN,3.682,13220,20043
0.9846443965517242,0.9632703438756514,0.9523809523809523,3,nonlin_d20_n2000,nonlinear,20,2000,44,VAR-Lasso,0.098,,44
0.9443247126436781,0.6996551707917289,0.6352941176470588,31,nonlin_d20_n2000,nonlinear,20,2000,44,Correlation,0.024,,44
0.8785919540229885,0.8001088261810959,0.7692307692307693,15,nonlin_d20_n2000,nonlinear,20,2000,44,NOTEARS,0.126,,44
0.9931752873563219,0.9660348788638262,0.967741935483871,2,nonlin_d20_n2000,nonlinear,20,2000,44,GOLEM,0.308,,44
0.999371408045977,0.9943910256410257,0.9841269841269841,1,nonlin_d20_n2000,nonlinear,20,2000,44,PCMCI,6.737,,44
0.984375,0.9713815789473684,0.9841269841269841,1,nonlin_d20_n2000,nonlinear,20,2000,44,VarLiNGAM,5.09,,44
0.7984015804597702,0.22245086223991462,0.34146341463414637,54,nonlin_d20_n2000,nonlinear,20,2000,44,Neural-GC,54.139,,44
0.9534841954022988,0.8701850282647368,0.8307692307692308,11,nonlin_d20_n2000,nonlinear,20,2000,44,CD-KAN,3.494,13220,44
0.9614428611681359,0.8689325772302433,0.8648648648648649,20,nonlin_d50_n3000,nonlinear,50,3000,42,VAR-Lasso,1.477,,110042
0.9592641790443989,0.6665726731827961,0.6666666666666666,60,nonlin_d50_n3000,nonlinear,50,3000,42,Correlation,0.205,,110042
0.5304361389526224,0.07013598926905121,0.09572649572649573,529,nonlin_d50_n3000,nonlinear,50,3000,42,NOTEARS,0.164,,110042
0.9844825504166164,0.9233034755132861,0.8662420382165605,21,nonlin_d50_n3000,nonlinear,50,3000,42,GOLEM,0.494,,110042
0.8020971702290384,0.4036473139514422,0.4580152671755725,71,nonlin_d50_n3000,nonlinear,50,3000,42,CD-KAN,14.167,82550,110042
